time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010460349642	42.7664	14.8294	0	0	0	lidar	0	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
1477010460349642	42.6168	14.855	2.98527	0	0	radar	9.84483	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
1477010461349642	45.2677	10.7838	3.29235	-2.02043	-0.598633	lidar	7.04649	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
1477010461349642	45.4098	12.24	3.18088	0.125652	1.51909	radar	46.7417	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	47.9216	17.0029	4.53016	1.02013	0.368795	lidar	49.6357	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	47.8554	17.0108	4.60144	1.20105	0.601383	radar	2.36328	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6293	19.4126	3.02078	1.01598	0.224076	lidar	34.8487	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6182	19.4384	3.12123	0.991771	0.174492	radar	2.95255	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.6671	20.1892	2.24342	0.264406	-0.404333	lidar	33.6525	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6359	20.2282	2.36016	0.287397	-0.387918	radar	2.72134	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	55.9835	21.0128	2.48599	0.180282	-0.212337	lidar	2.48999	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	55.9873	21.0187	2.53996	0.18642	-0.208425	radar	0.692638	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.5975	21.7321	2.66649	0.203653	-0.0799408	lidar	1.80436	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6232	21.7434	2.72118	0.210937	-0.0730923	radar	0.353876	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.9477	22.7571	2.55408	0.390565	0.0711883	lidar	2.09405	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
